# dt=0.01, m=1.00, gamma=1.00, R=50.00
# t	 x	 y	 vx	 vy
2.1 11.312 11.109 2.781 0.591
2.11 11.34 11.115 2.305 0.63
2.12 11.363 11.121 2.401 0.499
2.13 11.387 11.126 2.472 0.539
2.14 11.412 11.131 2.529 0.701
2.15 11.437 11.138 2.514 0.843
2.16 11.462 11.147 2.827 1.119
2.17 11.491 11.158 3.036 0.834
2.18 11.521 11.167 3.203 0.911
2.19 11.553 11.176 3.463 1.028
2.2 11.588 11.186 3.366 0.857
2.21 11.622 11.195 3.714 0.979
2.22 11.659 11.204 4.1 0.827
2.23 11.701 11.213 3.996 0.653
2.24 11.741 11.219 3.868 0.819
2.25 11.78 11.228 3.59 0.808
2.26 11.816 11.236 3.555 0.556
2.27 11.851 11.241 3.287 0.602
2.28 11.884 11.247 3.078 0.837
2.29 11.915 11.256 3.055 1.031
2.3 11.946 11.266 3.337 1.132
2.31 11.98 11.277 3.126 0.979
2.32 12.011 11.287 3.005 0.935
2.33 12.041 11.297 2.934 0.958
2.34 12.071 11.306 2.915 1.262
2.35 12.1 11.319 3.296 1.072
2.36 12.133 11.33 3.371 1.154
2.37 12.167 11.341 3.636 1.151
2.38 12.204 11.353 3.388 1.244
2.39 12.238 11.365 3.495 0.979
2.4 12.273 11.375 3.691 0.81
2.41 12.31 11.383 3.8 0.951
2.42 12.348 11.393 4.102 1.217
2.43 12.389 11.405 4.008 1.336
2.44 12.43 11.419 4.189 1.366
2.45 12.472 11.432 4.284 1.256
2.46 12.515 11.445 4.455 0.893
2.47 12.56 11.454 4.513 0.878
2.48 12.605 11.463 4.135 1.418
2.49 12.646 11.477 3.934 1.487
2.5 12.686 11.492 3.998 1.501
2.51 12.726 11.507 3.769 1.255
2.52 12.764 11.52 3.908 1.542
2.53 12.803 11.535 4.41 1.346
2.54 12.848 11.549 4.468 1.398
2.55 12.893 11.563 3.814 1.764
2.56 12.931 11.58 3.796 1.507
2.57 12.969 11.596 4.114 1.395
2.58 13.01 11.61 3.699 1.429
2.59 13.048 11.624 3.731 1.532
2.6 13.085 11.639 3.711 1.54
2.61 13.122 11.655 3.693 1.533
2.62 13.159 11.67 3.833 1.972
2.63 13.198 11.69 3.718 1.995
2.64 13.235 11.71 3.493 2.163
2.65 13.27 11.732 3.282 2.418
2.66 13.303 11.756 3.225 2.733
2.67 13.336 11.784 2.937 2.626
2.68 13.365 11.81 3.062 2.787
2.69 13.396 11.838 3.196 2.227
2.7 13.428 11.86 3.59 2.369
2.71 13.464 11.884 3.277 2.877
2.72 13.497 11.913 3.009 2.742
2.73 13.527 11.941 3.22 2.544
2.74 13.56 11.966 3.126 2.425
2.75 13.591 11.991 3.615 1.571
2.76 13.628 12.006 3.66 1.955
2.77 13.664 12.026 3.776 1.922
2.78 13.702 12.045 3.861 1.953
2.79 13.741 12.065 3.76 1.728
2.8 13.779 12.082 2.932 1.625
2.81 13.808 12.099 2.772 2.167
2.82 13.836 12.121 2.801 1.892
2.83 13.864 12.14 2.547 1.502
2.84 13.89 12.155 2.614 1.66
2.85 13.916 12.171 2.31 1.427
2.86 13.939 12.186 2.195 1.988
2.87 13.962 12.206 1.912 1.628
2.88 13.981 12.222 1.691 1.758
2.89 13.998 12.24 1.985 1.632
2.9 14.018 12.256 1.522 1.474
2.91 14.033 12.271 1.139 1.614
2.92 14.044 12.287 1.023 1.89
2.93 14.055 12.306 0.762 1.903
2.94 14.062 12.325 1.152 2.086
2.95 14.074 12.346 0.223 1.915
2.96 14.076 12.365 0.009 1.69
2.97 14.076 12.382 0.33 1.619
2.98 14.08 12.399 0.388 1.81
2.99 14.084 12.417 0.311 1.753
3.0 14.087 12.435 0.226 1.611
3.01 14.089 12.451 0.063 1.038
3.02 14.09 12.461 0.392 0.959
3.03 14.093 12.471 0.872 0.772
3.04 14.102 12.479 0.967 -0.014
3.05 14.112 12.478 1.289 0.115
3.06 14.125 12.48 1.21 -0.055
3.07 14.137 12.479 1.013 -0.461
3.08 14.147 12.474 0.864 -0.783
3.09 14.156 12.467 0.797 -0.538
3.1 14.164 12.461 0.963 -0.424
3.11 14.174 12.457 1.218 -0.399
3.12 14.186 12.453 0.848 -0.026
3.13 14.194 12.453 0.753 -0.015
3.14 14.202 12.452 1.009 -0.058
3.15 14.212 12.452 1.314 0.131
3.16 14.225 12.453 1.074 0.311
3.17 14.236 12.456 0.872 0.624
3.18 14.245 12.463 1.247 1.052
3.19 14.257 12.473 1.214 1.025
3.2 14.27 12.483 1.122 0.78
3.21 14.281 12.491 1.302 0.778
3.22 14.294 12.499 1.033 1.065
3.23 14.304 12.51 0.857 1.327
3.24 14.313 12.523 0.869 1.712
3.25 14.322 12.54 1.062 1.788
3.26 14.332 12.558 0.836 2.179
3.27 14.341 12.58 1.021 2.327
3.28 14.351 12.604 0.687 2.309
3.29 14.358 12.627 0.756 2.732
3.3 14.366 12.654 0.578 2.585
3.31 14.371 12.68 0.407 2.54
3.32 14.375 12.706 0.455 2.38
3.33 14.38 12.73 0.827 2.535
3.34 14.388 12.755 0.803 1.942
3.35 14.396 12.775 0.807 2.07
3.36 14.405 12.795 0.974 1.931
3.37 14.414 12.815 1.025 1.945
3.38 14.425 12.834 1.261 1.976
3.39 14.437 12.854 1.206 2.263
3.4 14.449 12.877 1.237 2.413
3.41 14.462 12.901 1.497 2.994
3.42 14.477 12.931 1.093 3.066
3.43 14.488 12.962 0.894 3.373
3.44 14.497 12.996 0.71 3.262
3.45 14.504 13.029 0.596 3.445
3.46 14.51 13.063 0.171 4.088
3.47 14.512 13.105 0.047 4.392
3.48 14.512 13.149 -0.471 4.024
3.49 14.507 13.189 -0.624 4.279
3.5 14.501 13.232 -0.75 3.477
3.51 14.494 13.267 -1.026 2.889
3.52 14.483 13.296 -1.008 2.779
3.53 14.473 13.324 -0.968 2.473
3.54 14.463 13.349 -1.226 2.361
3.55 14.451 13.373 -0.82 2.514
3.56 14.443 13.398 -1.153 2.454
3.57 14.431 13.423 -1.06 2.39
3.58 14.421 13.447 -1.203 2.5
3.59 14.409 13.472 -0.876 2.56
3.6 14.4 13.497 -0.729 2.332
3.61 14.392 13.521 -0.643 2.48
3.62 14.386 13.546 -0.706 2.631
3.63 14.379 13.572 -0.27 2.695
3.64 14.376 13.599 -0.26 2.837
3.65 14.374 13.628 -0.259 2.656
3.66 14.371 13.655 -0.121 2.712
3.67 14.37 13.682 -0.381 2.748
3.68 14.366 13.709 -0.613 2.893
3.69 14.36 13.739 -0.746 2.813
3.7 14.352 13.767 -0.611 2.703
3.71 14.346 13.794 -1.175 3.111
3.72 14.334 13.825 -1.346 3.247
3.73 14.321 13.858 -1.444 3.288
3.74 14.306 13.891 -1.742 3.044
3.75 14.289 13.921 -1.987 3.334
3.76 14.269 13.955 -1.815 3.28
3.77 14.251 13.988 -1.721 3.448
3.78 14.233 14.023 -2.207 3.115
3.79 14.211 14.054 -2.162 2.675
3.8 14.189 14.081 -1.873 2.489
3.81 14.17 14.106 -1.771 2.605
3.82 14.153 14.132 -1.314 2.904
3.83 14.139 14.161 -1.266 2.738
3.84 14.127 14.189 -1.059 2.629
3.85 14.116 14.215 -1.367 2.426
3.86 14.102 14.24 -1.008 2.288
3.87 14.092 14.262 -1.055 2.796
3.88 14.082 14.291 -0.975 2.262
3.89 14.072 14.313 -0.61 2.484
3.9 14.066 14.338 -0.526 2.69
3.91 14.06 14.365 -0.573 2.715
3.92 14.055 14.393 -0.447 2.915
3.93 14.05 14.422 -0.11 3.391
3.94 14.049 14.456 0.008 3.774
3.95 14.049 14.494 0.182 3.868
3.96 14.051 14.533 0.526 3.993
3.97 14.056 14.573 0.446 3.968
3.98 14.061 14.613 -0.024 3.81
3.99 14.06 14.651 -0.472 3.957
4.0 14.056 14.691 -0.282 4.507
4.01 14.053 14.736 -0.624 4.83
4.02 14.047 14.785 -0.862 4.522
4.03 14.038 14.83 -0.951 4.215
4.04 14.028 14.873 -0.862 3.87
4.05 14.02 14.911 -0.753 4.009
4.06 14.012 14.952 -0.333 3.724
4.07 14.009 14.989 -0.582 3.61
4.08 14.003 15.025 -0.636 3.284
4.09 13.997 15.058 -1.035 3.347
4.1 13.986 15.092 -1.024 2.711
4.11 13.976 15.119 -0.934 3.186
